omere_eol_rank,srniel_damage_rank,formula,material_id,ranking_metric_pct,ranking_metric_source,pmax_rf_mid_pct,pmax_grf_mid_pct,pmax_ddde_mev_per_g,pmax_ddde_to_p_mev_per_g,pmax_dddp_mev_per_g,has_fallback_ed,density_g_cm3,manifest_density_g_cm3,density_matches_manifest,active_layer_name,active_layer_formula,electron_niel_file,proton_niel_file,electron_niel_matches_candidate,proton_niel_matches_candidate,omere_status,validated_candidate_layer,source_file
49,16,SrTaNO2,JVASP-109687,96.1022,Pmax GRF mid,96.1817,96.1022,908234000.0,490608000.0,717648000.0,False,7.809,7.809,True,SrTaNO2,SrTaNO2,C:\LUMENS\sadc_edit_active_pilot_20260523_110100\candidate_niel\NIEL_e_SrTaNO2_JVASP-109687.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_110100\candidate_niel\NIEL_p_SrTaNO2_JVASP-109687.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/16_SrTaNO2_JVASP-109687.dat
50,37,MgCu2O4,JVASP-9908,95.9971,Pmax GRF mid,96.0764,95.9971,513526000.0,277396000.0,969318000.0,False,5.176,5.176,True,MgCu2O4,MgCu2O4,C:\LUMENS\sadc_edit_active_pilot_20260523_113500\candidate_niel\NIEL_e_MgCu2O4_JVASP-9908.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_113500\candidate_niel\NIEL_p_MgCu2O4_JVASP-9908.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/37_MgCu2O4_JVASP-9908.dat
51,35,ZnGeN2,JVASP-9374,95.5765,Pmax GRF mid,95.6555,95.5765,888418000.0,479905000.0,923759000.0,False,5.877,5.877,True,ZnGeN2,ZnGeN2,C:\LUMENS\sadc_edit_active_pilot_20260523_113145\candidate_niel\NIEL_e_ZnGeN2_JVASP-9374.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_113145\candidate_niel\NIEL_p_ZnGeN2_JVASP-9374.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/35_ZnGeN2_JVASP-9374.dat
52,28,BaH2O4,JVASP-54745,95.5175,Pmax GRF mid,95.5965,95.5175,1260090000.0,680671000.0,745396000.0,False,4.138,4.138,True,BaH2O4,BaH2O4,C:\LUMENS\sadc_edit_active_pilot_20260523_112024\candidate_niel\NIEL_e_BaH2O4_JVASP-54745.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_112024\candidate_niel\NIEL_p_BaH2O4_JVASP-54745.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/28_BaH2O4_JVASP-54745.dat
53,38,MoH2O4,JVASP-54713,95.4013,Pmax GRF mid,95.4802,95.4013,934658000.0,504882000.0,965619000.0,False,3.629,3.629,True,MoH2O4,MoH2O4,C:\LUMENS\sadc_edit_active_pilot_20260523_113638\candidate_niel\NIEL_e_MoH2O4_JVASP-54713.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_113638\candidate_niel\NIEL_p_MoH2O4_JVASP-54713.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/38_MoH2O4_JVASP-54713.dat
54,40,MgCu2O4,JVASP-9884,95.3241,Pmax GRF mid,95.4029,95.3241,862034000.0,465653000.0,1034600000.0,False,4.420,4.42,True,MgCu2O4,MgCu2O4,C:\LUMENS\sadc_edit_active_pilot_20260523_113953\candidate_niel\NIEL_e_MgCu2O4_JVASP-9884.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_113953\candidate_niel\NIEL_p_MgCu2O4_JVASP-9884.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/40_MgCu2O4_JVASP-9884.dat
55,42,SCl2,JVASP-58833,95.3164,Pmax GRF mid,95.3952,95.3164,719050000.0,388415000.0,1114810000.0,False,2.228,2.228,True,SCl2,SCl2,C:\LUMENS\sadc_edit_active_pilot_20260523_114309\candidate_niel\NIEL_e_SCl2_JVASP-58833.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_114309\candidate_niel\NIEL_p_SCl2_JVASP-58833.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/42_SCl2_JVASP-58833.dat
56,43,Na3VS3O,JVASP-12252,95.2658,Pmax GRF mid,95.3445,95.2658,805128000.0,434913000.0,1087920000.0,False,2.286,2.286,True,Na3VS3O,Na3VS3O,C:\LUMENS\sadc_edit_active_pilot_20260523_114446\candidate_niel\NIEL_e_Na3VS3O_JVASP-12252.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_114446\candidate_niel\NIEL_p_Na3VS3O_JVASP-12252.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/43_Na3VS3O_JVASP-12252.dat
57,41,CrO3,JVASP-44469,95.2155,Pmax GRF mid,95.2942,95.2155,937130000.0,506217000.0,1036170000.0,False,2.788,2.788,True,CrO3,CrO3,C:\LUMENS\sadc_edit_active_pilot_20260523_114131\candidate_niel\NIEL_e_CrO3_JVASP-44469.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_114131\candidate_niel\NIEL_p_CrO3_JVASP-44469.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/41_CrO3_JVASP-44469.dat
58,32,Cu2SnSe3,JVASP-109764,95.1439,Pmax GRF mid,95.2226,95.1439,1217700000.0,657775000.0,912564000.0,False,5.574,5.574,True,Cu2SnSe3,Cu2SnSe3,C:\LUMENS\sadc_edit_active_pilot_20260523_112653\candidate_niel\NIEL_e_Cu2SnSe3_JVASP-109764.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_112653\candidate_niel\NIEL_p_Cu2SnSe3_JVASP-109764.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/32_Cu2SnSe3_JVASP-109764.dat
59,45,Si,JVASP-25415,94.9029,Pmax GRF mid,94.9813,94.9029,925287000.0,499820000.0,1165790000.0,False,2.133,2.133,True,Si,Si,C:\LUMENS\sadc_edit_active_pilot_20260523_114802\candidate_niel\NIEL_e_Si_JVASP-25415.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_114802\candidate_niel\NIEL_p_Si_JVASP-25415.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/45_Si_JVASP-25415.dat
60,46,KNO3,JVASP-53146,94.3198,Pmax GRF mid,94.3978,94.3198,1398190000.0,755271000.0,1148060000.0,False,1.960,1.96,True,KNO3,KNO3,C:\LUMENS\sadc_edit_active_pilot_20260523_114940\candidate_niel\NIEL_e_KNO3_JVASP-53146.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_114940\candidate_niel\NIEL_p_KNO3_JVASP-53146.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/46_KNO3_JVASP-53146.dat
61,44,AsCl5,JVASP-5770,93.3399,Pmax GRF mid,93.417,93.3399,2122690000.0,1146630000.0,1180490000.0,False,2.523,2.523,True,AsCl5,AsCl5,C:\LUMENS\sadc_edit_active_pilot_20260523_114624\candidate_niel\NIEL_e_AsCl5_JVASP-5770.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_114624\candidate_niel\NIEL_p_AsCl5_JVASP-5770.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/44_AsCl5_JVASP-5770.dat
62,47,NaS,JVASP-9152,92.9861,Pmax GRF mid,93.063,92.9861,2256350000.0,1218830000.0,1269130000.0,False,2.045,2.045,True,NaS,NaS,C:\LUMENS\sadc_edit_active_pilot_20260523_115118\candidate_niel\NIEL_e_NaS_JVASP-9152.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_115118\candidate_niel\NIEL_p_NaS_JVASP-9152.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/47_NaS_JVASP-9152.dat
